meterNumber;center;zone;sector;routeOrder;subscriberNumber;police;address
MT-LAZ-0031;Niamey;Lazarey;Nord;31;ABN-LAZ-0031;PL-LAZ-0031;Niamey, Lazarey, Secteur Nord, Rue 31
MT-LAZ-0032;Niamey;Lazarey;Nord;32;ABN-LAZ-0032;PL-LAZ-0032;Niamey, Lazarey, Secteur Nord, Rue 32
MT-LAZ-0033;Niamey;Lazarey;Nord;33;ABN-LAZ-0033;PL-LAZ-0033;Niamey, Lazarey, Secteur Nord, Rue 33
MT-LAZ-0034;Niamey;Lazarey;Nord;34;ABN-LAZ-0034;PL-LAZ-0034;Niamey, Lazarey, Secteur Nord, Rue 34
MT-LAZ-0035;Niamey;Lazarey;Nord;35;ABN-LAZ-0035;PL-LAZ-0035;Niamey, Lazarey, Secteur Nord, Rue 35
MT-LAZ-0036;Niamey;Lazarey;Nord;36;ABN-LAZ-0036;PL-LAZ-0036;Niamey, Lazarey, Secteur Nord, Rue 36
MT-LAZ-0037;Niamey;Lazarey;Nord;37;ABN-LAZ-0037;PL-LAZ-0037;Niamey, Lazarey, Secteur Nord, Rue 37
MT-LAZ-0038;Niamey;Lazarey;Nord;38;ABN-LAZ-0038;PL-LAZ-0038;Niamey, Lazarey, Secteur Nord, Rue 38
MT-LAZ-0039;Niamey;Lazarey;Nord;39;ABN-LAZ-0039;PL-LAZ-0039;Niamey, Lazarey, Secteur Nord, Rue 39
MT-LAZ-0040;Niamey;Lazarey;Nord;40;ABN-LAZ-0040;PL-LAZ-0040;Niamey, Lazarey, Secteur Nord, Rue 40
